sector,job_title,company,location,contract_type,salary,description,publication_date,job_url
Agriculture • Pêche,Alternance - Chargé·e de Formation H/F,Remy Cointreau,Paris - 75,Alternance,"486,49 - 1 801,80 € / mois","Nous recherchons un·e candidat·e :  Alternance - Chargé·e de Formation  Pour une alternance de 1 an, basée à Paris et démarrage septembre 2025  En tant qu'alternant·e vous aurez la charge de la création, du pilotage et de la mise en oeuvre des formations au sein du groupe. Vos missions seront :  Formation : - Piloter le plan de développement des compétences pour le site de Paris (siège) - Analyser des besoins de formation et création du plan de développement des compétences - Participer à la préparation et au pilotage du budget formation - Rechercher des prestataires, conception et lancement des formations pour l'ensemble des collaborateurs - Mettre en place des formations Groupe (du cadrage du besoin avec le business, recherche des prestataires, conception, déploiement des programmes de formation) - Mettre à jour le reporting sur les formations réalisées  Support à l'équipe Formation et Gestion de projet : - Participer à la gestion des projets formation Groupe, projets de digitalisation des formations, ingénierie pédagogique - Concevoir et préparer des actions de communication et l'établissement d'un calendrier éditorial pour les équipes Formation - Aider à l'administration des outils formation - Aider à la veille des innovations dans le domaine de la formation - Aider à la gestion des relations OPCO",N/A,https://www.hellowork.com/fr-fr/emplois/64211898.html
BTP,Manutentionnaire H/F,Crit,Terssac - 81,Intérim,12 - 13 € / heure,"Dans le cadre du développement de son activité, nous recherchons pour notre client, spécialisé dans le secteur de la logistique et du transport,  Un.e Manutentionnaire H/F - Job étudiant de nettoyeur  Vos missions : - Manutentionnaire pour le nettoyage de la ligne de production - Nettoyage sol et fosse à l'aide d'un marteau piqueur - Nettoyage sol et fosse à l'aide d'un marteau d'un karcher pour enlever les résidus de ciment séché - Respecter les consignes de sécurité et les procédures en vigueur  Informations contractuelles : - Missions pour les vendredis après-midis ou samedis matin Horaires possibles : * 05h00 à 13h00 * 13h00 à 21h00 - Rémunération : 12.47EUR brut de l'heure + Prime de nettoyage + Casse croute  Vous disposerez aussi des avantages CRIT : - Taux horaire fixe + 10% fin de mission + 10% congés payés. - Compte Epargne Temps (CET) déblocable à tout moment. - Acompte de paie hebdomadaire si besoin. - Aides diverses (via FASTT) : mutuelle, logement, garde d'enfants, etc. - Application My Crit pour un suivi facile. - Comité Social et Économique (CSE) : cartes cadeaux, remboursement chèques vacances, etc",N/A,https://www.hellowork.com/fr-fr/emplois/73782507.html
BTP,Ouvrier Polyvalent en Menuiserie H/F,Groupe Actual,Auterive - 31,Intérim,"Estimation → 12,36 - 13,50 € / heure","Nous recherchons un(e) menuisier(e) expérimenté(e) pour rejoindre notre équipe dynamique à Auterive.  Nous avons besoin de fabricants en menuiserie aluminium ayant une bonne connaissance de la gamme TECHNAL. Les candidats non expérimentés mais ayant au moins 5 ans d'expérience en industrie ou dans le bâtiment sont également les bienvenus.  Nous offrons aussi des opportunités pour des étudiants motivés cherchant un job d'été. En plus, nous recherchons un chef d'équipe poseur expérimenté et un dépanneur en menuiserie autonome.  Ne manquez pas cette opportunité de développer vos compétences et de travailler dans un environnement professionnel enrichissant.",N/A,https://www.hellowork.com/fr-fr/emplois/73524593.html
BTP,Alternance-Gestionnaire Paie H/F,Lafarge France,Issy-les-Moulineaux - 92,Alternance,"486,49 - 1 801,80 € / mois","Pourquoi nous rejoindre ?  > Participer à la transformation d'une industrie engagée dans l'innovation et la construction durable,  > Un environnement de travail collaboratif,  > Une ambiance de travail conviviale.  > Des opportunités de développement : formation continue, programmes internes de développement, mobilité interne, accompagnement au changement de métier...  Nous recherchons un(e) Gestionnaire de Paie en alternance pour accompagner l'équipe paie dans ses missions quotidiennes et participer à des projets transverses.  Date de démarrage: au 01/02/2026  Principales responsabilités et missions :  Le/la Gestionnaire de paie sera en charge de :  - Garant de la gestion administrative de la paie en se conformant au droit du travail, au droit social et aux accords d'entreprise - Établissement d'un petit périmètre paie avec collecte des variables et des absences - Gestion de la maladie et contact avec la CPAM - Relation avec les salariés - Gestion de petits projets en relation avec le responsable paie et/ou la responsable paie adjointe - Communication - Classement - Échanges en tripartite PAIE - RRH - ADP  EXPÉRIENCE  Première expérience en paie appréciée (stage, job étudiant, alternance)  QUALIFICATIONS  - De formation: de Bac +2 à Bac +5 - Sensibilité au droit social et à la réglementation paie. - Capacité à apprendre rapidement des processus techniques.  COMPÉTENCES & CONNAISSANCES  - Savoir-Faire  - Compréhension des processus paie (collecte variables, absences, maladie). - Rigueur dans le traitement administratif. - Fort intérêt pour les sujets paie / RH  - Savoir-Être  - Rigueur - Capacité d'analyse - Adaptabilité - Sens de l'organisation - Bon relationnel et sens de la communication - Force de proposition  PROCESSUS DE RECRUTEMENT :  1. Ma candidature est présélectionnée  2. Un contact téléphonique de première approche m'est proposé  3. Je rencontre des professionnels du recrutement et des opérationnels (présentiel ou visio)  4. Ma candidature est retenue,  5. Bienvenue chez Lafarge !  Notre société encourage la diversité sous toutes ses formes et s'est engagée dans une démarche en faveur de l'emploi des personnes en situation de handicap.  Le groupe Holcim, leader mondial des matériaux de construction, occupe une position de premier plan dans chacune de ses activités (ciments, granulats, bétons).  En France, Lafarge, filiale du groupe Holcim, compte près de 4 200 salariés et plus de 419 sites répartis sur l'ensemble du territoire. Nous proposons des matériaux et des solutions innovantes pour construire durablement et contribuer à améliorer les villes : infrastructures, hôpitaux, bureaux, logements collectifs et individuels, maisons basse consommation... Engagé dans une démarche d'économie circulaire et de développement durable, le groupe Holcim agit en faveur de la biodiversité, de l'économie d'énergie ou encore de la préservation des ressources naturelles.",N/A,https://www.hellowork.com/fr-fr/emplois/72976198.html
BTP,Magasinier Cariste CACES 3 H/F,Samsic Emploi,Alès - 30,Intérim,"11,88 € / heure","Samsic Emploi est à la recherche d'un poste de Magasinier Cariste dédié et compétent. Si vous avez un intérêt particulier pour le secteur du Bâtiment - BTP et une expérience substantielle du terrain, cette offre pourrait être l'occasion idéale pour vous. Vos missions principales seront  - Gérer avec efficacité et organisation le stock - Accueillir, conseiller et servir nos précieux clients - Préparer les commandes en respectant les procédures établies - Exécuter les opérations de chargement et de déchargement - Assurer la gestion informatique des stocks - Veiller à la propreté et à la sécurité de l'entrepôt  Nous attendons de vous que vous soyez dynamique et organisé(e), capable de travailler en équipe et maîtrisant les outils informatiques. L'esprit d'équipe, la rigueur et le sens de l'organisation seront des atouts précieux pour réussir dans cette fonction. SAMSIC, société socialement responsable, s'engage au quotidien pour l'emploi des personnes en situation de handicap.",N/A,https://www.hellowork.com/fr-fr/emplois/73441967.html
BTP,Stage Bac+2 - Surveillant de Travaux Systèmes - Métro d H/F,Egis Groupe,Lyon - 69,Stage,Pas de salaire renseigné,"Dans le cadre du projet de modernisation du métro automatique de la ligne D de Lyon, nous recherchons un(e) alternant(e) pour un poste de Surveillant Travaux Systèmes.  Vous rejoindrez l'équipe de Maîtrise d'oeuvre des systèmes de Modernisation de la ligne D de Lyon. Vous êtes dans une équipe projet et piloté par le responsable marché en charge de superviser la réalisation des travaux systèmes sur notamment la ligne de métro D.  Vos principales missions seront les suivantes :  - Réaliser le suivi général du chantier (gestion, planification, avancement) - Superviser au quotidien le bon déroulement des activités de travaux des marchés Systèmes (HT/BT, Traction, Courant faibles, Automatismes, SQV), en coordination avec les acteurs de l'opération - Veiller à la conformité de l'exécution des travaux menés par les entreprises relativement aux prescriptions de leurs contrats - Vérifier la bonne application des procédures et des contrôles associés - Contrôler le respect du planning et les avancements physiques proposés par les entreprises - Vérifier le respect des interfaces avec les marchés tiers externes ou internes et participer aux constats contradictoires d'interface Infrastructure / Systèmes (délais de mise à disposition) - Veiller au respect des règles d'hygiène et de sécurité sur les chantiers, - Participer aux réunions de chantier - Assurer le suivi administratif du chantier, - Préparer et diffuser le reporting auprès du coordonnateur systèmes secteur et des responsables de marché.  Vous intervenez également en appui des responsables de marché en prenant part notamment aux activités suivantes :  - Effectuer le suivi des réceptions et des levées de réserves - Visa des documents de méthodes d'exécution, procédures et plans d'emprises - Diagnostic et contrôle sur site - Participation à des réunions avec les titulaires de marché",N/A,https://www.hellowork.com/fr-fr/emplois/68381072.html
BTP,Chargé de Recrutement Alternance H/F,Saint Gobain,Courbevoie - 92,Alternance,"486,49 - 1 801,80 € / mois","Pourquoi a-t-on besoin de vous ?  Au sein de Saint Gobain Distribution Bâtiment France (SGDBF), vous serez intégré(e) en tant que Chargé de recrutement au sein de l'équipe ""Les Ecoles de la Construction Durable pour piloter le recrutement d'apprentis et de professionnels pour les écoles suivantes : l'Ecole du Toit (Couvreur), l'Ecole des Bâtisseurs (Maçon), 19°C, l'Ecole du Génie Climatique (Plombier chauffagiste) et enfin l'Ecole Carré (Plaquiste).  Dans un contexte de pénurie aggravée et en l'absence de formation reconnue sur les métiers de la construction durable, Saint Gobain souhaite se positionner fortement en créant une formation en apprentissage innovante. Ce programme permettra aux générations futures de se former aux métiers de couvreur / maçon / plombier-chauffagiste et plaquiste en intégrant une forte dimension environnementale.  Vous participerez au projet de lancement de nouvelles promotions en Septembre/Octobre 2026, en partenariat avec plusieurs CFA (Centre de Formation d'Apprentis). Vous serez amené(e) à travailler en étroite collaboration avec les directeurs de programme des écoles et les directions régionales des enseignes. Votre rôle principal sera de piloter le recrutement d'apprentis et de pros pour nos différentes classes.  Plus précisément, vos tâches seront de :  1. Recruter des apprentis : Vous participerez activement au recrutement des apprentis pour les futures promotions, en préqualifiant les CV, en menant des entretiens, et en utilisant un outil de recrutement dédié pour mettre en relation les candidats avec des professionnels. Vous assurerez un accompagnement individualisé des apprentis pour faciliter leur placement en entreprise (coaching pour les entretiens). Vous devrez également ajuster le processus de recrutement en fonction des retours terrain.  2. Recrutement et qualification de nos clients professionnels : Vous identifiez et qualifiez les entreprises prêtes à accueillir des apprentis. Votre rôle sera de détecter et proposer les bons profils en adéquation avec les critères des entreprises pour réaliser des mises en relation efficaces entre apprentis et entreprises amenant aux matchings apprenti/pro.  3. Animation des partenariats locaux : Vous participerez en étroite collaboration avec la responsable partenariat aux différents événements locaux partout en France pour renforcer le sourcing de nos futurs apprentis en cohérence avec les critères de nos clients professionnels. Cela intègre également l'animation de présentations de nos formations auprès de futurs apprentis dans différents contextes, comme les missions locales, les salons, et Pôle Emploi...  4. Soutien aux évènements de recrutement de nos CFA : Vous participez activement aux événements tels que les portes ouvertes, les job dating et les rentrées avec les CFA, afin de faciliter l'intégration des apprentis lors de leur rentrée.  5. Prise d'initiative : L'entreprise valorise la prise d'initiatives, et vous êtes acteur(trice) de la réussite de l'ouverture de vos classes attitrées en proposant de nouvelles actions et idées pour améliorer l'attractivité de la formation et optimiser les matchings.  Ce poste est-il fait pour vous ?  Etudiant(e) en école de communication ou de commerce, ou en ressources humaines  Qualités :  1. Être un bon communicant(e) : aisance à l'oral, clarté, etc.  2. Être autonome : vous savez faire preuve de créativité, de réactivité et de proactivité et vous êtes prêt(e) à prendre des responsabilités.  3. Être organisé(e) : vous êtes capable de structurer un processus de recrutement et le suivre.  4. Savoir s'adapter : vous allez discuter à la fois avec des étudiants et des artisans couvreurs.  Pour être sûr de ne rien oublier  Nous sommes une équipe de 11 personnes très dynamiques et engagées : équipe très horizontale et entrepreneuriale.  On vous en dit plus sur nous  Saint-Gobain Distribution Bâtiment France, filiale du Pôle Distribution Bâtiment de Saint-Gobain, est le premier distributeur de matériaux de construction en France, au service des professionnels et de ceux qui s'investissent dans l'amélioration de leur habitat.  Saint-Gobain, leader mondial de l'habitat, conçoit, produit et distribue des matériaux de construction en apportant des solutions innovantes sur les marchés en croissance des pays émergents, de l'efficacité énergétique et de l'environnement. Saint-Gobain est une maison accueillante, sûre et ouverte sur le monde, dans laquelle on entre pour un parcours.  Notes légales  Saint-Gobain recrute et reconnaît tous les talents",N/A,https://www.hellowork.com/fr-fr/emplois/73453407.html
BTP,Stagiaire Ressources Humaines 44 H/F,Equans France,Le Bignon - 44,Stage,Pas de salaire renseigné,"Description de l'emploi: Au quotidien, Bouygues Energies & Services - entité d'EQUANS, conçoit, installe, entretient et exploite des systèmes techniques et des services sur mesure dans plus de 30 pays. Ces services permettent aux clients de conjuguer maîtrise de leur consommation d'énergie et qualité du cadre de vie et de travail pour leurs usagers. Présent partout où l'aménagement des territoires, le cadre urbain, le cadre de travail et de vie se transforment, Bouygues Energies & Services offre à ses clients et leurs usagers une vie plus simple, confortable, économique et responsable.  Au sein de notre Direction Territoire Grand Ouest, vous participerez à notre politique ambitieuse « Relations écoles et Recrutements » dans nos métiers des Travaux Publics de Réseaux, avec pour principales missions :  - Rédiger et diffuser les offres sur les différents canaux de communication et auprès de nos partenaires, - Sourcer, pré-sélectionner et participer aux entretiens des candidat(e)s, - Garantir une expérience candidat(e) optimale, - Organiser et participer à des évènements (forums, job dating, présentation dans les écoles,...) - Promouvoir l'entreprise sur les réseaux sociaux et assurer le relationnel avec nos différents partenaires, - Suivre le reporting, - Participer à l'organisation des journées d'intégration des nouveaux collaborateurs/ices  Vous accompagnerez principalement l'intégralité de la campagne d'alternance, du sourcing à l'embauche, pour notre activité Infrastructures Réseaux Extérieurs et nos implantations en Bretagne, Pays de La Loire et Nouvelle Aquitaine.  En parallèle, vous travaillerez sur une mission de création d'un module sur mesure de formation en alternance avec un organisme partenaire sur l'un de nos métiers.  Ce stage d'une durée de 5 à 6 mois est basé au Bignon, au sud de Nantes (44).  Étudiant(e) préparant un diplôme Bac +3 à Bac +5 avec une spécialisation Ressources Humaines, vous avez déjà une première expérience dans le domaine des Ressources Humaines à travers un stage ou une alternance.  Vous faîtes preuve de curiosité, d'initiative, d'autonomie et de qualités relationnelles.  Permis B indispensable.  Vous souhaitez un stage formateur au sein d'une équipe dynamique ? N'hésitez plus !  Vous hésitez encore ? Nous avons été élus TOP EMPLOYEUR 2025 ! Pourquoi ? Car notre objectif quotidien est de permettre à nos collaborateurs d'être eux-mêmes, de se sentir bien, de s'intéresser aux gens, de grandir et de faire réussir l'entreprise ! Si vous aussi vous voulez faire partie de cette aventure, rejoignez-nous !",N/A,https://www.hellowork.com/fr-fr/emplois/73049503.html
BTP,Stage - Marketing International H/F,Saint Gobain,Le Pontet - 84,Stage,Pas de salaire renseigné,"Why do we need you?  Saint Gobain Performance Ceramics and Refractories (PCR) recherche un(e) stagiaire pour rejoindre son équipe Marketing & Communication. Rattaché(e) à la Digital Marketing, Customer, Experience & Communication Manager, vous participez à la promotion et au développement de Saint Gobain PCR à travers les leviers définis par l'équipe.  Dans ce cadre-là, vous serez amené(e) à participer aux missions suivantes :  Marketing Opérationnel :- Créez des supports variés tels que brochures, fiches produits, reportages photos et présentations pour renforcer la visibilité de Saint-Gobain PCR sur le marché international.- Vous êtes en support du quotidien des équipes Ventes Internationales.  Gestion des Réseaux Sociaux :- Identifiez les tendances actuelles, proposez de nouveaux formats de contenu, et collaborez avec les équipes Marketing Central et Ventes pour produire du contenu engageant sur LinkedIn, YouTube, et autres plateformes.  Optimisation du Site Internet :- Améliorez l'expérience utilisateur et le parcours client digital pour maximiser l'impact en ligne.- Vous mettez à jour le contenu du site Internet et contribuez à la création d'articles.  Evènementiel : - Vous aidez à l'organisation des salons professionnels au niveau Monde, de la construction du plan de communication à la logistique.  Reporting / Veille : - Vous assurez un reporting mensuel des supports digitaux et faites des recommandations.- Vous assurez une veille concurrentielle sur nos marchés clés.  Dans le cadre de cette mission, vous serez en contact avec des interlocuteurs français et internationaux, permettant d'avoir une vision transverse de l'activité commerciale, marketing et communication.  Vous pourrez être amené(e) à vous rendre ponctuellement au siège Saint Gobain à Paris, ou en déplacement à l'étranger.  Is this job for you?  Formation et expérience :  - Etudiant(e) en école de commerce, de communication ou Université de niveau Master 1 ou 2- Un stage préalable en communication / marketing / digital est indispensable.  Connaissances et compétences techniques- Vous avez un intérêt pour le secteur industriel et vous êtes créatif(ve), rigoureux(se), organisé(e), dynamique, autonome, curieux(se) et force de propositions- Anglais courant indispensable (lu, écrit, parlé) : tous les outils sont en Anglais- Bonne maîtrise du Pack Office- Appétence pour le Digital",N/A,https://www.hellowork.com/fr-fr/emplois/73337851.html
